INGRÉDIENTS,EFFET 1,EFFET 2,EFFET 3,EFFET 4
Dent d'Ogre,Dégâts d'intelligence,Résistance à la paralysie,Dégâts de foudre,Fortification de force
Dent de Daedroth,Vision nocturne,Bouclier de froid,Fardeau,Lumière
Dent de Daedroth,Vision nocturne,Bouclier de froid,Fardeau,Lumière
Dent de Molosse,Guérison du poison,Détection de vie,Fardeau,Invisibilité
Dent de Smilodon,Restauration de Vigueur,Renfort d'Armure Lourde,Renfort de Forgeage,Vulnérabilité au Poison
Dent de Spectre de Glace,Vulnérabilité à la Glace,Renfort d'Armure Lourde,Invisibilité,Vulnérabilité au Feu
Diamant,Atténuation d'agilité,Invisibilité,Réflexion,Détection des clés
Ebonite brute,Atténuation d'agilité,Guérison du poison,Bouclier de froid,Regain de personnalité
Ecaille,Dégâts de volonté,Respiration aquatique,Réduction de santé,Marche sur l'eau
Ecaille de Poisson Carnassier,Résistance à la Glace,Pénalité de Santé persistante,Renfort d'Armure Lourde,Renfort de Parade
Ecaille pourrie,Fardeau,Réduction de santé,Silence,Paralysie
Ecailles,Atténuation de personnalité,Marche sur l'eau,Regain d'endurance,Nage rapide
Ecorce de Gnarl,Regain d'endurance,Bouclier,Bouclier de feu,Réduction de santé
Ectoplasme,Agilité fortifiée,Détection des animaux,Atténuation de force,Atténuation de santé
Ectoplasme,Dégâts de foudre,Dissipation,Fortification de magie,Réduction de santé
Ectoplasme,Restauration de Magie,Renfort de Destruction,Renfort de Magie,Pénalité de Santé
Emeraude,Magie fortifiée,Regain de santé,Atténuation d'agilité,Atténuation d'endurance
Engrais osseux,Regain d'agilité,Télékinésie,Atténuation de fatigue,Atténuation de personnalité
Engrais osseux,Réduction de fatigue,Résistance au feu,Fortification de chance,Vision nocturne
Épi de blé,Regain de fatigue,Réduction de magie,Fortification de santé,Dégâts de personnalité
Épine de lloramor,Absorption de sort,Invisibilité,Poison,Détection des enchantements
Esquille d'os,Regain de volonté,Bouclier de froid,Réduction de magie,Dégâts de chance
Essence de néant,Regain de santé,Fortification de santé,Fortification de force,Fortification d'endurance
Etouffe herbe,Atténuation de chance,Regain de points de fatigue,Guérison de la maladie,Atténuation de volonté
Farine,Regain de fatigue,Dégâts de personnalité,Fortification de fatigue,Réflexion de dégâts
Farine d'os,Pénalité de Vigueur,Résistance au Feu,Renfort de Conjuration,Vigueur endommagée
Feuille d'absinthe,Fortification de fatigue,Invisibilité,Réduction de santé,Réduction de magie
Feuille d'Aloe Vera,Regain de fatigue,Regain de santé,Réduction de magie,Invisibilité
Feuille de Cardamine des prés,Regain d'intelligence,Résistance au feu,Réduction de fatigue,Fortification de santé
Feuille de Ginkgo,Regain de rapidité,Fortification de la magie,Dégâts de chance,Dégâts de foudre
Feuille de Pied de lion,Regain de santé,Dégâts d'endurance,Vision nocturne,Plume
Feuille de plume-lo,Regain de points de fatigue,Paralysie,Respiration aquatique,Regain de chance
Feuille de Primevère,Regain de volonté,Regain de personnalité,Fortification de chance,Dégâts de force
Feuille de vipérine vulgaire,Résistance à la paralysie,Vision nocturne,Fardeau,Guérison de la paralysie
Fève aquatique,Regain de santé,Résistance au feu,Bouclier de feu,Respiration aquatique
Fibre de kresh,Regain de chance,Personnalité fortifiée,Atténuation de magie,Atténuation de rapidité
Fleur d'Alkanet,Regain d'intelligence,Résistance au poison,Lumière,Réduction de fatigue
Fleur de jonc doré,Atténuation de magie,Force fortifiée,Attaque fortifiée,Nage rapide
Fleur de jonc noble,Réduction de santé,Regain d'agilité,Poison,Agilité fortifiée
Fleur de Timsa-par-là,Dissipation,Résistance à la paralysie,Atténuation de magie,Regain d'endurance
Floraison empoisonnée,Pénalité de Santé,Langueur,Renfort de Portage,Peur
Fourrure d'ours,Atténuation de fatigue,Force fortifiée,Résistance aux maladies,Vision nocturne
Fourrure d'ours des neiges,Atténuation de fatigue,Rapidité fortifiée,Résistance aux maladies,Vision nocturne
Fourrure de loup,Atténuation de fatigue,Rapidité fortifiée,Résistance aux maladies,Vision nocturne
Fourrure de loup des neiges,Atténuation de fatigue,Rapidité fortifiée,Résistance aux maladies,Vision nocturne
Fraise,Regain de fatigue,Guérison du poison,Réduction de santé,Réflexion de dégâts
Fromage entier,Regain de fatigue,Résistance à la paralysie,Dégâts de chance,Fortification de volonté
Fruit d'Alocasia,Regain de fatigue,Lumière,Regain de santé,Réduction de magie
Gâteau roulé,Regain de fatigue,Résistance à la maladie,Dégâts de personnalité,Fortification de santé
Gâteau sucré,Regain de fatigue,Plume,Regain de santé,Fardeau
Gelée de netch,Paralysie,Renfort de Portage,Restauration de vigueur,Peur
Gelée de sautecendres,Restauration de Santé,Renfort d'armure légère,Résistance à la Foudre,Vulnérabilité à la Glace
Gelée de scrib,Volonté fortifiée,Guérison du poison,Guérison du fléau,Regain de volonté
Genièvre,Vulnérabilité au Feu,Renfort de Précision,Régénération de Santé,Dégâts Vigueur Récupération
Gibier,Regain de santé,Plume,Réduction de santé,Caméléon
Ginseng,Dégâts de chance,Guérison du poison,Fardeau,Fortification de magie
Girolle virulente,Atténuation de rapidité,Atténuation d'endurance,Dissipation,Atténuation de force
Givreboise,Résistance au Feu,Renfort d'Enchantement,Résistance à la Glace,Résistance à la Foudre
Glycine,Résistance à la paralysie,Vision nocturne,Fardeau,Guérison de paralysie
Goudron,Réduction de fatigue,Dégâts de rapidité,Réduction de santé,Dégâts de foudre
Gousse blanche,Regain de force,Respiration aquatique,Silence,Lumière
Grain de blé,Regain de fatigue,Réduction de magie,Fortification de santé,Réduction de personnalité
Graine d'Armoise,Regain de santé,/,/,/
Graine de Bergamote,Résistance à la maladie,Dissipation,Réduction de magie,Silence
Graine de Chardon argenté,Graine de Chardon argenté,Dégâts de froid,Guérison de la paralysie,Paralysie
Graine de Fenouil,Regain de fatigue,Dégâts d'intelligence,Réduction de magie,Paralysie
Graine de Lin,Regain de magie,Plume,Bouclier,Réduction de santé
Graine de Lotus sacré,Résistance au froid,Réduction de santé,Plume,Dissipation
Graine de pivoine,Regain de force,Réduction de santé,Dégâts de rapidité,Regain de fatigue
Graisse de Troll,Dégâts d'agilité,Fortification de personnalité,Dégâts de volonté,Réduction de santé
Graisse de Troll,Résistance au Poison,Renfort d'Arme à Deux Mains,Frénésie,Pénalité de Santé
Graisse de Troll tacheté,Fortification de magie,Regain de santé,Fortification de santé,Regain de magie
Grande Ramure,Restauration de Vigueur,Renfort de Vigueur,Langueur,Dégâts Vigueur Récupération
Gravetar,Résistance au froid,Atténuation de santé,Points de fatigue fortifiés,Atténuation de chance
Grelot-de-la-mort,Pénalité de Santé,Vigueur endommagée,Langueur,Vulnérabilité au Poison
Griffe d'ours,Restauration de Vigueur,Renfort de Santé,Renfort d'Arme à Une Main,Dégâts Magie récupération
Griffe de Faucheclan,Guérison de la maladie,Résistance à la maladie,Paralysie,Réduction de santé
Griffe de Faucheclan,Guérison de la paralysie,Résistance à la maladie,Paralysie,Réduction de santé
Gros oeuf de kwama,Regain de points de fatigue,Paralysie,Bouclier de froid,Santé fortifiée
Gueule hurlante,Regain de volonté,Détection de vie,Caméléon,Regain de santé
Harrada,Réduction de santé,Réduction de magie,Silence,Paralysie
Herbe de sang,Caméléon,Résistance à la paralysie,Fardeau,Fortification de santé
Herbe pourpre,Atténuation de force,Guérison du poison,Atténuation de santé,Regain de volonté
Hivernelle,Résistance à la Glace,Renfort de Furtivité,Magie endommagée,Dégâts Vigueur Récupération
Huile Dwemer,Vulnérabilité à la Magie,Renfort d'Illusion,Regain magique,Restauration de Magie
Hypha facia,Atténuation de chance,Atténuation d'agilité,Atténuation de fatigue,Détection des enchantements
Ichor d'Elytra,Regain de magie,Fardeau,Caméléon,Silence
Igname des cendres,Intelligence fortifiée,Force fortifiée,Résistance aux maladies,Détection des clés
Jambon,Regain de fatigue,Regain de santé,Réduction de magie,Dégâts de chance
Kanet dorée,Atténuation de santé,Fardeau,Atténuation de chance,Regain de force
Laitue,Regain de fatigue,Regain de chance,Bouclier de feu,Dégâts de personnalité
Langue de Dévoreur,Guérison du poison,Guérison de la maladie,Dégâts de feu,Fortification de magie
Langue de Dragon,Résistance au feu,Réduction de santé,Regain de santé,Bouclier de feu
Langue de Dragon,Résistance au Feu,Renfort de Marchandage,Renfort d'Illusion,Renfort d'Arme à Deux Mains
Larme de pestiféré,Atténuation de fatigue,Chance fortifiée,Atténuation de volonté,Regain de santé
Lavande,Résistance à la Magie,Renfort de Vigueur,Magie endommagée,Renfort de Conjuration
Lichen Géant,Vulnérabilité à la Foudre,Santé endommagée,Vulnérabilité au Poison,Restauration de Santé
Lichen noir,Atténuation de force,Résistance au froid,Atténuation de rapidité,Guérison du poison
Lichen rouge,Atténuation de rapidité,Lumière,Guérison de la maladie,Atténuation de magie
Lichen vert,Personnalité fortifiée,Guérison de la maladie,Atténuation de force,Atténuation de santé
Liqueur,Regain de magie,/,/,/
Lys des Cimes Bleu,Restauration de Santé,Renfort de Conjuration,Renfort de Santé,Dégâts Magie récupération
Lys des Cimes Jaune,Résistance au Poison,Renfort de Guérison,Renfort de Santé,Dégâts Vigueur récupération
Lys des Cimes Rouge,Restauration de Magie,Magie endommagée,Renfort de Magie,Pénalité de Santé
Lys des Cimes Violet,Restauration de Vigueur,Renfort de Furtivité,Pénalité de Magie persistante,Résistance à la Glace
Lys tigré,Regain d'endurance,Dégâts de force,Marche sur l'eau,Dégâts de volonté
Maïs,Regain de fatigue,Regain d'intelligence,Dégâts d'agilité,Bouclier de foudre
Marante,Regain d'agilité,Dégâts de chance,Fortification de force,Fardeau
Miche de pain,Regain de fatigue,Détection de vie,Dégâts d'agilité,Dégâts de force
Moelle osseuse,Réduction de santé,Dégâts de froid,Réduction de magie,Paralysie
Mora Topinella,Restauration de Magie,Pénalité de Santé persistante,Récupération de Vigueur,Renfort d'Illusion
Morceau de fromage,Regain de fatigue,Résistance au feu,Bouclier de feu,Dégâts d'agilité
Morceau de métal,Atténuation de santé,Guérison de la maladie,Résistance à la foudre,Regain d'intelligence
Mousse Barbue,Pénalité de Magie,Renfort de Santé,Dégât Magie Récupération,Renfort d'Arme à Une Main
Mousse-parasol,Pénalité de Santé,Renfort de Magie,Régénération de Santé,Renfort d'arme à deux mains
Mouton,Fortification de santé,Réduction de fatigue,Dissipation,Réduction de magie
Mûre,Regain de fatigue,Résistance à la foudre,Fortification d'endurance,Regain de magie
Mycène des Marais,Résistance à la foudre,Pénalité de Magie persistante,Paralysie,Restauration de Santé
Nectar,Résistance au poison,Résistance à la paralysie,Regain de chance,Résistance à la maladie
Nectar de digitale,Résistance au poison,Résistance à la paralysie,Regain de chance,Résistance à la maladie
Nectar de Jacinthe d'eau,Dégâts de chance,Réduction de fatigue,Regain de magie,Fortification de magie
Nectar de Millepertuis,Résistance à la foudre,Réduction de santé,Réduction de santé,Caméléon
Nirnroot,Atténuation de santé,Atténuation de fatigue,Atténuation d'agilité,Atténuation de rapidité
Nirnroot,Pénalité de Santé,Pénalité de Vigueur,Invisibilité,Résistance à la Magie
Nirnroot Cramoisie,Pénalité de Santé,Pénalité de Vigueur,Invisibilité,Résistance à la Magie
Noix de bois de fer,Regain d'intelligence,Résistance au feu,Réduction de fatigue,Fortification de santé
Obscurcine,Pénalité de Santé,Dégâts Magie Récupération,Pénalité de Vigueur persistante,Renfort de Destruction
Oeil de grahl,Résistance au froid,Vision nocturne,Atténuation de magie,Force fortifiée
Oeil de Guetteur,Regain d'intelligence,Fortification de magie,Lumière,Réflexion de sort
Oeil de Smilodon,Restauration de Vigueur,Santé endommagée,Pénalité de Magie,Restauration de Santé
Oeuf d'Araignée,Pénalité de Vigueur,Dégâts Magie Récupération,Renfort de Crochetage,Renfort de Précision
Oeuf de Chaurus,Vulnérabilité au Poison,Renfort de Vigueur,Pénalité de Magie,Invisibilité
Oeuf de Fauvette,Restauration de Santé,Renfort d'Arme à Une Main,Pénalité de Vigueur,Vulnérabilité à la Magie
Oeuf de Grive,Restauration de Vigueur,Renfort de Crochetage,Vulnérabilité au Poison,Résistance à la Foudre
Oeuf de Grummit,Réduction de magie,Dissipation,Caméléon,Silence
Oeuf de Poisson Carnassier,Résistance au Poison,Renfort de Vol à la Tire,Pénalité de Santé persistante,Renfort de Vigueur
Oeuf de Poule,Résistance à la Magie,Dégâts Magie récupération,Respiration aquatique,Pénalité de Vigueur persistante
Oignon,Regain de fatigue,Respiration aquatique,Détection de vie,Réduction de santé
Orange,Regain de fatigue,Détection de vie,Fardeau,Bouclier
Oreille d'Elfe,Restauration de Magie,Renfort de Précision,Vulnérabilité à la Glace,Résistance au Feu
Oreille de Falmer,Pénalité de Santé,Frénésie,Résistance au Poison,Renfort de Crochetage
Orteil de Géant,Pénalité de Vigueur,Renfort de Santé,Renfort de Portage,Dégâts Vigueur Récupération
Pain,Regain de points de fatigue,/,/,/
Pastèque,Regain de fatigue,Lumière,Fardeau,Réduction de santé
Patte de Baliwog fumée,Regain de fatigue,Plume,Regain de santé,Réduction de fatigue
Peau d'alit,Atténuation d'intelligence,Résistance au poison,Télékinésie,Détection des animaux
Peau de daédra,Force fortifiée,Guérison de la maladie,Paralysie,Nage rapide
Peau de galopin,Atténuation de magie,Guérison de la paralysie,Regain de personnalité,Regain de force
Peau de galopin,Réduction de magie,Résistance à la foudre,Réflexion des dégâts,Réduction de santé
Peau de galopin,Réduction de magie,Résistance à la foudre,Réflexion des dégâts,Réduction de santé
Peau de guar,Atténuation de fatigue,Endurance fortifiée,Regain de personnalité,Chance fortifiée
Peau de kagouti,Atténuation de fatigue,Rapidité fortifiée,Résistance aux maladies,Vision nocturne
Peau de Ragnard Carbonisé,Restauration de Vigueur,Potion Médicinale,Résistance au Poison,Restauration de Santé
Peau humaine,Réduction de magie,Résistance à la foudre,Réflexion des dégâts,Réduction de santé
Perche Argentée,Restauration de Vigueur,Dégâts Vigueur Récupération,Santé endommagée,Résistance à la Glace
Perle,Atténuation d'agilité,Dissipation,Respiration aquatique,Résistance aux maladies
Perle,Restauration de Vigueur,Renfort de Parade,Restauration de Magie,Résistance à la Foudre
Pétale d'aconite,Regain d'intelligence,Invisibilité,Atténuation d'endurance,Atténuation de magie
Pétales de feu,Résistance au feu,Atténuation de santé,Absorption de sort,Paralysie
Pétales de fleur d'amertume,Regain d'intelligence,Invisibilité,Atténuation d'endurance,Atténuation de magie
Pétales de fleur de roche,Regain de force,Magie fortifiée,Atténuation de chance,Personnalité fortifiée
Petit oeuf de kwama,Regain de points de fatigue,/,/,/
Petite Perle,Restauration de Vigueur,Renfort d'Arme à Une Main,Renfort de Guérison,Résistance à la Glace
Petite Ramure,Vulnérabilité au Poison,Renfort de Guérison,Pénalité de Vigueur persistante,Pénalité de Santé
Pholiote à Ecaille,Vulnérabilité à la Magie,Renfort d'Illusion,Récupération de Vigueur,Renfort de Portage
Pied de champignon,Regain de force,Marche sur l'eau,Fortification de santé,Regain de magie
Pied-de-lutin,Pénalité de Santé,Pénalité de Santé persistante,Paralysie,Restauration de Santé
Plante grimpante,Restauration de Magie,Dégâts Vigueur Récupération,Renfort de Portage,Vulnérabilité à la Magie
Plume d'Harfreuse,Pénalité de Magie,Renfort de Conjuration,Frénésie,Vulnérabilité à la Foudre
Plume de braillard,Atténuation de volonté,Lévitation,/,/
Plume de Faucon,Potion Médicinale,Renfort d'Armure Légère,Renfort d'Arme à Une Main,Renfort de Furtivité
Plumes de sterne de Felsaad,Restauration de Santé,Renfort d'armure légère,Potion médicinale,Résistance à la Magie
Poire,Regain de fatigue,Dégâts de rapidité,Fortification de rapidité,Réduction de santé
Poireaux,Regain de fatigue,Fortification d'agilité,Dégâts de personnalité,Dégâts de force
Poisson Combattant de Cyrodiil,Pénalité de Vigueur,Renfort de Guérison,Peur,Santé endommagée
Poisson de Rivière,Pénalité de Santé,Renfort d'Altération,Langueur,Renfort de Portage
Pomme,Regain de fatigue,Dégâts de chance,Fortification de volonté,Réduction de santé
Pomme de terre,Regain de fatigue,Bouclier,Fardeau,Bouclier de froid
Pousse des marais,Regain de santé,Détection des enchantements,Atténuation de volonté,Atténuation de fatigue
Poussière de tombe,Atténuation d'intelligence,Guérison de la maladie,Atténuation de magie,Regain d'endurance
Poussière de vampire,Santé fortifiée,Force fortifiée,Absorption de sort,Vampirisme
Poussière de vampire,Silence,Résistance à la maladie,Dégâts de froid,Invisibilité
Poussière de Vampire,Invisibilité,Restauration de Magie,Régénération de Santé,Potion Médicinale
Poussière luisante,Pénalité de Magie,Dégâts Magie Récupération,Renfort de Destruction,Résistance à la Foudre
Poussière lumineuse,Regain de rapidité,Lumière,Réflexion des sorts,Réduction de santé
Pulpe de céréus,Paralysie,Lévitation,Résistance à la paralysie,Regain de santé
Pulpe de racine,Guérison de la maladie,Dégâts de volonté,Fortification de force,Dégâts d'intelligence
Pulpe de racine d'Aconit,Regain de force,Dégâts d'intelligence Fo,Fortification d'endurance,Fardeau
Pulpe de racine d'Ancolie,Regain de personnalité,Résistance au froid,Fortification de magie,Caméléon
Pulpe de racine de Volubilis,Fardeau,Dégâts de volonté,Bouclier de froid,Réduction de magie
Pulponge,Atténuation d'intelligence,Détection des clés,Atténuation de personnalité,Guérison de la maladie
Putrescence gélatineuse,Regain de force,Dégâts de feu,Regain de magie,Réduction de santé
Queue de Ragnard,Dégâts Vigueur Récupération,Santé endommagée,Pénalité de Santé,Renfort d'Armure Légère
Racine de bulbe-liège,Guérison de la paralysie,Regain de santé,Bouclier de foudre,Chance fortifiée
Racine de Canis,Pénalité de Vigueur,Renfort d'Arme à Une Main,Renfort de Précision,Paralysie
Racine de cendres,Pénalité de Vigueur,Invisibilité,Résistance au Feu,Renfort de Destruction
Racine de Mandragore,Guérison des maladies,Résistance au poison,Dégâts d'agilité,Fortification de volonté
Racine de trama,Regain de volonté,Lévitation,Atténuation de magie,Atténuation de rapidité
Racine de trama,Vulnérabilité à la Foudre,Renfort de Portage,Pénalité de Magie,Langueur
Racine Noueuse,Vulnérabilité à la Magie,Renfort d'Illusion,Regain magique,Restauration de Magie
Racine pivotante,Regain de chance,Dégâts de chance,Résistance au poison,Bouclier de foudre
Radis,Regain de fatigue,Dégâts d'endurance,Caméléon,Fardeau
Raisin,Regain de fatigue,Marche sur l'eau,Dissipation,Réduction de santé
Raisin Jazbay,Vulnérabilité à la Magie,Renfort de Magie,Regain magique,Santé endommagée
Rayon de Miel,Restauration de Vigueur,Renfort de Parade,Renfort d'Armure Légère,Vigueur endommagée
Résine,Regain de santé,Regain de rapidité,Fardeau,Résistance aux maladies
Résine de shalk,Atténuation de fatigue,Santé fortifiée,Atténuation de personnalité,Rapidité fortifiée
Reste de cendre,Fortification de fatigue,Dégâts de chance,Silence,Vulnérabilité au feu
