**Arme**,**Coût**,**Poids (kg)**,**Taille**,**Type**,**Facteur de Vitesse**,**Dégâts latéral**,**Dégâts estoc**
Bouclier à pointe (Targe),3 po,1.36,M,P,4,1d3,1d2
Cahulaks,12 po,5.44,M,P/C,5,1d6,1d6
"Carreau, de poing",1 po,*,P,P,—,1d3,1d2
"Carreau, Léger",1 pa,*,P,P,—,1d4,1d4
"Carreau, Lourd",2 pa,*,P,P,—,1d4+1,1d6+1
Carrikal,8 po,2.72,M,T,5,1d6+1,1d8
Cavalier (Cavalier / Arme à feu),450 po,4.99,M,P,12,1d8,1d8
Ceste,1 po,0.91,P,T,2,1d4,1d3
Chaîne,5 pa,1.36,G,C,5,1d4+1,1d4
Chakram,1 po,0.23,P,T,2,1d4,1d3
Chatkcha,1 pc,0.23,P,T,4,1d6+2,1d4+1
Chausse-trape,2 pa,0.09,P,P,—,1,1d2
Cimeterre,15 po,1.81,M,T,5,1d8,1d8
Couteau,5 pa,0.23,P,P/T,2,1d3,1d2
Couteau de harnais,**,*,P,P/T,2,1d2,1
Couteau de lancer,3 po,1.36,M,P/T,3,1d4+1,1d4+1
Couteau de veuve,5 po,1.81,M,P/T,3,1d4,1d4
Couteau en os,3 pc,0.23,P,P/T,2,1d2,1d2
Couteau en pierre,5 pc,0.23,P,P/T,2,1d2,1d2
Couteau-poing (Punch-cutter),6 po,0.45,P,T,2,1d4,1d3
Dague,2 po,0.45,P,P,2,1d4,1d3
Dague d'escalade,5 po,0.45,P,P,2,1d3,1d2
Dague de Géant,5 po,1.36,T,P,3,1d6,1d8
Dague de parade (Main-gauche),5 po,0.45,P,P,2,1d3,1d3
Dague en os,1 pa,0.45,P,P,2,1d2,1d2
Dague en pierre,2 pa,0.45,P,P,2,1d3,1d2
Daikyu,100 po,1.36,G,—,7,—,—
Dejada,6 po,3.63,M,P/C,8,1d8,1d6
Dejada Cestus,10 po,4.08,M,P/T/C,2/8,1d6/1d6,1d8/1d6
Disque d'arbalète,5 po,0.14,P,P,—,1d6+1,1d6
Empaleur (Impaler),4 pc,2.27,M,P,5,1d8,1d8
Épée à crochet,15 po,1.81,M,T,5,1d8+1,1d8
Épée à deux mains,50 po,6.8,G,T,10,1d10,3d6
Épée à deux mains de Géant,100 po,15.88,T,T,13,1d10x2,3d6x2
Épée bâtarde à deux mains,25 po,4.54,M,T,8,2d4,2d8
Épée bâtarde à une main,25 po,4.54,M,T,6,1d8,1d12
Épée Claymore,25 po,4.54,M,T,8,2d4,2d8
Épée Claymore naine,**,4.99,M,T,7,2d4,2d6
Épée courte,10 po,1.36,P,P,3*,1d6,1d8
Épée de marin,9 po,2.27,M,T,4,1d8,1d8
Épée de Pixie,30 po,0.45,TP,T,4,1d4,1d3
Épée Drusus,50 po,1.36,M,T,3,1d6+1,1d8+1
Épée Falchion,17 po,3.63,M,T,5,1d6+1,2d4
Épée Flamberge,30 po,9.53,G,T,9,1d8+1,2d8
Épée Khandar à deux mains,25 po,4.54,M,T,7,1d10,1d10
Épée Khandar à une main,25 po,4.54,M,T,5,1d8,1d8
Épée Khopesh,10 po,3.18,M,T,9,2d4,1d6
Épée large,10 po,1.81,M,T,5,2d4,1d6+1
Épée longue,15 po,1.81,M,T,5,1d8,1d12
Épée Mandibule,6 po,1.36,M,P,4,1d8/1d6,1d6/1d4
Épée perçante,12 po,1.36,M,P,3,1d6+1,1d8
Épée Talwar,15 po,2.27,M,T,6,2d4,2d4
"Épée, Cordeau (Cutlass)",12 po,1.81,M,T,5,1d6,1d8
"Épée, Grand cimeterre",60 po,7.26,G,T,9,2d8,4d4
Epéette (Swordlet),8 po,0.91,P,T,3,1d4+1,1d4+1
Faux,10 po,6.8,G,T,8,1d10+2,2d6
Filet,5 po,4.54,M,—,10,—,—
Fléau à chaîne,1 po,2.27,G,C,6,1d4+2,1d4+1
Fléau à dos d'épines,20 po,11.34,G,C,9,1d8+1,2d6
Fléau à grain,3 po,1.36,M,C,6,1d4+1,1d4
Fléau d'armes de cavalier,8 po,2.27,M,C,6,1d4+1,1d4+1
Fléau d'armes de piéton,15 po,6.8,M,C,7,1d6+1,2d4
"Flèche, d'Oubli",100 po,—,TP,P,—,**,**
"Flèche, Daikyu",3 pa/6,0.45,M,P,—,1d8,1d6
"Flèche, de Guerre",1 po/2,—,TP,P,—,1d4+1,1d4+1
"Flèche, de Sommeil",10 po/6,—,TP,P,—,**,**
"Flèche, Géant",1 po/12,—,T,P,—,1d8,1d8
"Flèche, Kényane",1 po/20,0.05,P,P,—,1d10,1d10
"Flèche, Légère (Flight)",3 pa/12,*,P,P,—,1d6,1d6
"Flèche, Légère en pierre",3 pc/12,0.05,M,P,—,1d4,1d4
"Flèche, Lourde (Sheaf)",3 pa/6,*,P,P,—,1d8,1d8
"Flèche, Perce-maille",1 po/20,*,P,P,—,1d6,1d6
Fléchette,5 pa,0.23,P,P,2,1d3,1d2
Fléchette barbelée,—,2.27,P,P,3,1d4,1d4
Flindbar,8 po,2.72,M,C,4,1d4,1d4
Fouet,1 pa,0.91,M,—,8,1d2,1
Fouet à chaîne,21 po,1.59,M,—,9,1d3,1d2
Fouet de maître,6 po,1.36,M,P,8,1d3,1d2
Fronde,5 pc,*,P,—,6,—,—
"Fronde, Bille de fronde",1 pc,0.23,P,C,—,1d4+1,1d6+1
"Fronde, Pierre",—,0.23,P,C,—,1d4,1d4
Fustibale (Fronde à bâton),2 pa,0.91,M,—,11,—,—
"Fustibale, Pot puant",1 pa,0.91,P,C,—,1d3,1d3
Gada,1 po,2.72,M,C,6,1d8,1d4
Gantelet à griffes (Glove Nail),2 po,0.91,P,P,2,1d4+1,1d4
Gouge,6 po,5.44,G,P/T,8,1d8,1d10
Gourdin,—,1.36,M,C,4,1d6,1d3
Gourdin cerclé (Rim Club),2 pa,5.44,G,C,10,1d6,1d6
Gourdin Datchi,12 po,4.54,G,C,4,1d6,1d4
Gourdin de guerre nain,**,5.44,M,C,6,2d4,1d6+1
Gourdin de marin (Belaying Pin),2 pc,0.91,P,C,4,1d3,1d3
Grande masse d'armes,20 po,9.07,M,C,10,1d8+1,2d4
Grappin / Crochet fixé,2 po,0.91,P,P,2,1d4,1d3
Grappin / Crochet tenu,5 pc,0.91,P,P,2,1d4,1d3
Hache d'avant-bras,1 po,1.81,P,P/T,3,1d6,1d6
Hache de bataille,5 po,3.18,M,T,7,1d8,1d8
Hache de bataille à deux mains,10 po,4.54,M,T,9,1d10,2d8
Hachette / Hache de lancer,1 po,2.27,M,T,4,1d6,1d4
Hachette de cuisine/bois,2 po,1.36,P,T,4,1d4+1,1d4+1
Hachette faucon (Hawk Hatchet),2 po,2.72,M,P/T,5,1d6+1/1d4+1,1d4/1d4
Harpon à deux mains,20 po,2.72,G,P,7,2d4,2d6
Harpon à une main,20 po,2.72,G,P,7,1d4+1,1d6+1
Hora,1 po,0.23,P,C,1,1d3,1d3
Iuak (Lame des neiges),10 po,1.36,M,T,4,1d4,1d6
Jambiya,4 po,0.45,P,P/T,3,1d4,1d4
Javelot à deux mains,5 pa,0.91,M,P,4,1d6,1d6
Javelot à une main,5 pa,0.91,M,P,4,1d4,1d4
Javelot en pierre à deux mains,5 pc,0.91,G,P,4,1d6,1d6
Javelot en pierre à une main,5 pc,0.91,G,P,4,1d4,1d4
Katana à deux mains,100 po,2.72,M,T/P,4,2d6,2d6
Katana à une main,100 po,2.72,M,T/P,4,1d10,1d12
Katar (Poignard de coup de poing),3 po,0.45,P,P,2,1d3+1,1d3
Knobkerrie,10 pa,1.81,M,C,4,1d6,1d4+1
Kora,11 po,1.81,M,T,4,1d6+1,1d6+1
Kukri,3 po,0.91,P,T,3,1d4+1,1d4+1
Lames de tortue,9 po,2.27,M,P/T,5,1d6,1d6+1
Lance à crochet,8 po,3.18,G,P/T,7,1d6,1d8
Lance à deux mains3,8 pa,2.27,M,P,6,1d8+1,2d6
Lance à double lame,2 po,2.72,M,P,6,1d8,1d8
Lance à une main,8 pa,2.27,M,P,6,1d6,1d8
Lance de cavalerie légère1,6 po,2.27,G,P,6,1d6,1d8
Lance de cavalerie lourde1,15 po,6.8,G,P,8,1d8+1,3d6
Lance de cavalerie moyenne1,10 po,4.54,G,P,7,1d6+1,2d6
Lance de joute1,20 po,9.07,G,P,10,1d3-1,1d2-1
Lance de lancer,1 po,1.36,M,P,5,1d6,1d8
Lance en pierre à deux mains,8 pc,2.27,M,P,6,1d6,2d4
Lance en pierre à une main,8 pc,2.27,M,P,6,1d4,1d6
Lance longue à deux mains3,5 po,3.63,G,P,8,2d6,3d6
Lance longue à une main,5 po,3.63,G,P,8,1d8,1d8+1
Lance lourde à deux mains,3 po,3.18,G,P,8,2d6,2d8
Lance lourde à une main,3 po,3.18,G,P,8,1d8,1d10
Lance volante (Flight Lance),6 po,2.27,G,P,6,1d6+1,2d6
Lance-pagaie,10 pa,1.36,M,P,6,1d4+1,1d6+1
Lasso,5 pa,1.36,G,—,10,—,—
Lotulis,15 po,4.54,G,P/T/C,8,1d10,1d12
Maca,25 po,2.72,M,T,5,1d8,1d6
Machette,30 po,1.81,M,T,8,1d8,1d8
Madu,6 po,2.27,M,P,4,1d4,1d3
Main-gauche,3 po,0.91,P,P/T,2,1d4,1d3
Marteau de guerre,2 po,2.72,M,C,4,1d4+1,1d4
Martinet / Fouet de Discipline,1 po,0.91,P,—,5,1d4,1d2
Masse à dos d'épines,15 po,7.26,G,C,9,1d8+1,1d8
Masse d'armes à double boule,35 po,7.26,M,C,8,1d4+1x2,1d4x2
Masse d'armes d'hast (Morningstar),10 po,5.44,M,C,7,2d4,1d6+1
Masse d'armes de cavalier,5 po,2.72,M,C,6,1d6,1d4
Masse d'armes de Géant,11 po,5.44,T,C,8,1d8x2,1d6x2
Masse d'armes de piéton,8 po,4.54,M,C,7,1d6+1,1d6
Masse d'armes sifflante de cavalier,9 po,1.36,M,C,5,1d4+1,1d2+1
Masse d'armes sifflante de piéton,12 po,2.72,M,C,6,1d6,1d4
Massue (Great Club),8 po,5.44,M,C,7,2d4,1d6+1
Mousquet,800 po,9.07,M,P,17,1d12,1d12
Nunchaku,1 po,1.36,M,C,3,1d6,1d6
Nyek-ple-nen-toh,40 po,4.54,G,T,12,1d8+1,1d8
Pata1,30 po,2.72,M,P/T,6,1d8,1d12
Patte de Dragon,15 po,4.08,G,P,8,1d6,1d6+1
Peshkabz,3 po,0.45,P,P,2,1d4,1d3
Pic à glace,1 po,0.23,P,P,2,1d4,1d3
Pic de cavalier,7 po,1.81,M,P,5,1d4+1,1d4
Pic de piéton,8 po,2.72,M,P,7,1d6+1,2d4
Pique lestée,6 po,6.8,G,P/C,12,1d6/1d6,1d12/1d4
Pistolet à rouet (Starwheel),"1,000 po",2.27,P,P,10,1d4,1d4
Pointe de casque/tête,10 po,4.54,M,P,4,1d6,1d8
Pointe de coude,1 po,0.91,P,T,2,1d4,1d4
Pointe de genou,3 po,0.91,P,P,1,1d4,1d4
Pointes d'armure corporelle,—,—,P,P,2,**,**
Propulseur de lance,10 po,1.36,M,—,9,—,—
Puchik,6 po,0.45,P,P/T,2,1d4+1,1d4+1
Quabone,1 pc,1.81,M,P/T,7,1d4,1d3
Rapière,15 po,1.81,M,P,4,1d6+1,1d8+1
Rasoir,4 pa,0.45,P,T,2,1d2,1d2
Rasoir de poignet,1 pa,0.45,P,T,2,1d6+1,1d4+1
Ritiik,10 po,2.72,G,P,8,1d6+1,1d8+1
Sabre,17 po,2.27,M,T,4,1d6+1,1d8+1
Sai,5 pa,0.91,P,P/C,2,1d4,1d2
Sarbacane,5 po,0.91,G,—,5,—,—
"Sarbacane, Aiguille",2 pc,*,P,P,—,1,1
"Sarbacane, Fléchette barbelée",1 pa,*,P,P,—,1d3,1d2
Serpe,6 pa,1.36,P,T,4,1d4+1,1d4
Shoka,6 po,3.18,M,T,7,1d6+1,1d6+1
Shotel,3 po,1.81,M,T,7,1d6,1d6
Shuriken,3 pa,0.45,P,P,2,1d4,1d4
Stylet,5 pa,0.23,P,P,2,1d3,1d2
Surin / Dirk,2 po,0.45,P,P,2,1d4,1d3
Talid,4 po,0.45,P,P/T/C,2,1d6,1d6-1
Tranche-tibia (Kick-slasher),7 po,1.36,P,T,2,1d4+1,1d6+1
Trident à deux mains,15 po,2.27,G,P,7,1d8+1,3d4
Trident à une main,15 po,2.27,G,P,7,1d6+1,3d4
Trombash lancé,10 pa,0.91,P,C,3,1d6,1d4
Trombash tenu,10 pa,0.91,P,C,3,1d4,1d2
Tromblon,500 po,5.44,M,P,15,1d4,1d4
Tufenk,14 po,2.27,G,—,9,**,**
Wakizashi,50 po,1.36,M,T/P,3,1d8,1d8
Zaghnal,14 po,2.27,P,P,5,1d4+1,1d6+1
